"daily.time","daily.summary","daily.icon","daily.sunriseTime","daily.sunsetTime","daily.moonPhase","daily.precipIntensity","daily.precipIntensityMax","daily.precipIntensityMaxTime","daily.precipProbability","daily.precipType","daily.temperatureHigh","daily.temperatureHighTime","daily.temperatureLow","daily.temperatureLowTime","daily.apparentTemperatureHigh","daily.apparentTemperatureHighTime","daily.apparentTemperatureLow","daily.apparentTemperatureLowTime","daily.dewPoint","daily.humidity","daily.pressure","daily.windSpeed","daily.windGust","daily.windGustTime","daily.windBearing","daily.cloudCover","daily.uvIndex","daily.uvIndexTime","daily.visibility","daily.temperatureMin","daily.temperatureMinTime","daily.temperatureMax","daily.temperatureMaxTime","daily.apparentTemperatureMin","daily.apparentTemperatureMinTime","daily.apparentTemperatureMax","daily.apparentTemperatureMaxTime","id","location","home.team","latitude","longitude","daily.precipAccumulation"
2009-09-26,"Mostly cloudy throughout the day.","partly-cloudy-day",2009-09-26 07:04:23,2009-09-26 19:00:32,0.26,0,0,,0,,60.03,1253973600,52.7,1254009600,60.03,1253973600,52.7,1254009600,50.38,0.82,1026.67,3.25,11.26,1253973600,291,0.75,3,1253966400,6.22,53.48,2009-09-26 01:00:00,60.03,2009-09-26 15:00:00,53.48,2009-09-26 01:00:00,60.03,2009-09-26 15:00:00,"0910-66","Blackburn","Blackburn",53.72861111,-2.48916667,
2010-01-27,"Mostly cloudy until evening.","partly-cloudy-day",2010-01-27 08:05:11,2010-01-27 16:42:36,0.4,0,0,,0,,44.69,1264608000,37.42,1264665600,39.7,1264608000,32.84,1264665600,37.01,0.88,1028.41,6.31,20.47,1264615200,275,0.65,1,1264590000,4.5,35.53,2010-01-27 00:00:00,44.69,2010-01-27 16:00:00,32.46,2010-01-27 08:00:00,39.7,2010-01-27 16:00:00,"0910-67","Blackburn","Blackburn",53.72861111,-2.48916667,
2009-12-05,"Light rain in the evening and overnight.","rain",2009-12-05 08:11:42,2009-12-05 15:52:38,0.61,0.0081,0.0711,2009-12-05 03:00:00,1,"rain",48.09,1260018000,46.05,1260086400,44.72,1260018000,42.78,1260043200,43.49,0.92,993.51,5.95,15.97,1260054000,166,0.57,0,1259971200,6.01,41.79,2009-12-05 00:00:00,50.1,2009-12-05 23:00:00,36.62,2009-12-05 01:00:00,50.1,2009-12-05 23:00:00,"0910-68","Blackburn","Blackburn",53.72861111,-2.48916667,
2010-01-17,"Partly cloudy throughout the day.","partly-cloudy-night",2010-01-17 08:18:12,2010-01-17 16:24:05,0.07,0,0,,0,,44.15,1263740400,39.11,1263758400,41.02,1263740400,36.8,1263758400,37.34,0.9,1013.32,4.23,10.98,1263740400,228,0.35,1,1263729600,5.57,36.69,2010-01-17 04:00:00,44.15,2010-01-17 15:00:00,33.43,2010-01-17 05:00:00,41.02,2010-01-17 15:00:00,"0910-69","Blackburn","Blackburn",53.72861111,-2.48916667,
2010-04-11,"Partly cloudy in the morning.","partly-cloudy-day",2010-04-11 06:20:00,2010-04-11 20:04:07,0.9,0,0,,0,,58.88,1270998000,37.77,1271052000,58.88,1270998000,37.77,1271052000,37.56,0.62,1032.07,4.14,12.83,1271001600,87,,2,1270976400,,44.28,2010-04-11 23:00:00,58.88,2010-04-11 16:00:00,43.04,2010-04-11 23:00:00,58.88,2010-04-11 16:00:00,"0910-70","Blackburn","Blackburn",53.72861111,-2.48916667,
2009-08-29,"Partly cloudy throughout the day.","partly-cloudy-day",2009-08-29 06:15:20,2009-08-29 20:09:20,0.31,0,0,,0,,60.4,1251558000,52.86,1251608400,60.4,1251558000,52.86,1251608400,48.07,0.74,1017.81,6.85,19.79,1251561600,263,0.42,5,1251547200,6.13,53.06,2009-08-29 06:00:00,60.4,2009-08-29 16:00:00,53.06,2009-08-29 06:00:00,60.4,2009-08-29 16:00:00,"0910-71","Blackburn","Blackburn",53.72861111,-2.48916667,
2010-04-17,"Clear throughout the day.","clear-day",2010-04-17 06:06:00,2010-04-17 20:15:10,0.1,0,0,,0,,58.65,1271516400,36.35,1271566800,58.65,1271516400,36.35,1271566800,38.07,0.71,1021.7,2.88,13.93,1271505600,272,0,5,1271502000,4.46,35.59,2010-04-17 06:00:00,58.65,2010-04-17 16:00:00,35.59,2010-04-17 06:00:00,58.65,2010-04-17 16:00:00,"0910-72","Blackburn","Blackburn",53.72861111,-2.48916667,
2010-05-03,"Partly cloudy throughout the day.","partly-cloudy-day",2010-05-03 05:31:31,2010-05-03 20:44:36,0.67,0,0,,0,,52.16,1272895200,35.68,1272949200,52.16,1272895200,35.68,1272949200,32.55,0.64,1025.73,5.14,14.97,1272891600,357,0.29,5,1272880800,6.22,35.4,2010-05-03 06:00:00,52.16,2010-05-03 15:00:00,31.49,2010-05-03 05:00:00,52.16,2010-05-03 15:00:00,"0910-73","Blackburn","Blackburn",53.72861111,-2.48916667,
2010-02-21,"Foggy in the morning.","fog",2010-02-21 07:17:37,2010-02-21 17:32:26,0.24,0.0014,0.0155,2010-02-21 13:00:00,0.51,"snow",36.01,1266757200,27.53,1266811200,36.01,1266757200,24.85,1266822000,30.54,0.92,991.49,0.95,6.5,1266728400,139,0.61,2,1266757200,4.49,29.33,2010-02-21 00:00:00,36.01,2010-02-21 13:00:00,28.46,2010-02-21 09:00:00,36.01,2010-02-21 13:00:00,"0910-74","Blackburn","Blackburn",53.72861111,-2.48916667,0
2009-10-18,"Mostly cloudy throughout the day.","partly-cloudy-day",2009-10-18 07:44:29,2009-10-18 18:07:52,0.02,0,0,,0,,49.63,1255888800,47.77,1255935600,49.45,1255881600,45.73,1255935600,41.18,0.88,1022.65,2.35,10.66,1255896000,180,0.61,2,1255867200,5.57,38.83,2009-10-18 07:00:00,49.66,2009-10-18 20:00:00,38.83,2009-10-18 07:00:00,49.45,2009-10-18 17:00:00,"0910-75","Blackburn","Blackburn",53.72861111,-2.48916667,
2009-09-12,"Clear throughout the day.","clear-day",2009-09-12 06:39:51,2009-09-12 19:35:19,0.77,0,0,,0,,65.93,1252764000,47,1252821600,65.93,1252764000,47,1252821600,50.14,0.79,1032.4,1.65,11.12,1252764000,300,0.17,4,1252753200,5.42,48.33,2009-09-12 07:00:00,65.93,2009-09-12 15:00:00,48.33,2009-09-12 07:00:00,65.93,2009-09-12 15:00:00,"0910-76","Blackburn","Blackburn",53.72861111,-2.48916667,
2009-08-15,"Partly cloudy throughout the day.","partly-cloudy-day",2009-08-15 05:51:15,2009-08-15 20:40:45,0.81,0.001,0.0096,2009-08-15 19:00:00,0.73,"rain",70.59,1250344800,55.97,1250398800,70.71,1250344800,55.97,1250398800,59.28,0.83,1009.13,7.43,16.65,1250330400,224,0.48,5,1250334000,6.06,61.21,2009-08-15 23:00:00,70.59,2009-08-15 15:00:00,61.21,2009-08-15 23:00:00,70.71,2009-08-15 15:00:00,"0910-77","Bolton","Bolton",53.58055556,-2.53555556,
2009-09-19,"Partly cloudy throughout the day.","partly-cloudy-day",2009-09-19 06:52:19,2009-09-19 19:18:04,0.03,0,0,,0,,63.2,1253358000,48.08,1253426400,63.2,1253358000,48.08,1253426400,51.95,0.81,1016.79,0.49,8.73,1253365200,234,0.51,3,1253358000,6.01,55.12,2009-09-19 07:00:00,63.2,2009-09-19 12:00:00,55.12,2009-09-19 07:00:00,63.2,2009-09-19 12:00:00,"0910-78","Bolton","Bolton",53.58055556,-2.53555556,
2010-04-03,"Partly cloudy throughout the day.","partly-cloudy-day",2010-04-03 06:39:36,2010-04-03 19:49:25,0.66,0,0,,0,,51.5,1270303200,40.37,1270353600,51.5,1270303200,36.16,1270360800,38.28,0.81,998.83,1.1,10.7,1270310400,211,0.42,4,1270296000,6.17,39.47,2010-04-03 07:00:00,51.5,2010-04-03 15:00:00,37.73,2010-04-03 03:00:00,51.5,2010-04-03 15:00:00,"0910-79","Bolton","Bolton",53.58055556,-2.53555556,
2009-12-12,"Partly cloudy throughout the day.","partly-cloudy-day",2009-12-12 08:19:18,2009-12-12 15:51:29,0.87,0,0,,0,,44.65,1260626400,33.13,1260676800,44.65,1260626400,33.13,1260676800,37.02,0.94,1035.06,1.14,4.58,1260630000,41,0.45,0,1260576000,5.62,34.63,2009-12-12 23:00:00,44.65,2009-12-12 14:00:00,34.63,2009-12-12 23:00:00,44.65,2009-12-12 14:00:00,"0910-80","Bolton","Bolton",53.58055556,-2.53555556,
2009-11-22,"Partly cloudy throughout the day.","partly-cloudy-night",2009-11-22 07:50:45,2009-11-22 16:04:54,0.18,0.0029,0.0268,2009-11-22 19:00:00,1,"rain",47.4,1258916400,46.59,1258945200,43.22,1258894800,40.93,1258945200,42.55,0.85,992.92,8.65,26.07,1258927200,206,0.43,1,1258891200,6.13,45.04,2009-11-22 08:00:00,49.05,2009-11-22 00:00:00,40.44,2009-11-22 07:00:00,45.95,2009-11-22 01:00:00,"0910-81","Bolton","Bolton",53.58055556,-2.53555556,
2009-10-03,"Partly cloudy throughout the day.","partly-cloudy-day",2009-10-03 07:16:56,2009-10-03 18:43:35,0.47,0,6e-04,2009-10-03 15:00:00,0,,58.28,1254571200,46.47,1254639600,58.28,1254571200,44.08,1254639600,48.38,0.78,1004.85,10.62,31.33,1254582000,262,0.5,2,1254564000,6.1,51.62,2009-10-03 23:00:00,58.28,2009-10-03 13:00:00,51.62,2009-10-03 23:00:00,58.28,2009-10-03 13:00:00,"0910-82","Bolton","Bolton",53.58055556,-2.53555556,
