"daily.time","daily.summary","daily.icon","daily.sunriseTime","daily.sunsetTime","daily.moonPhase","daily.precipIntensity","daily.precipIntensityMax","daily.precipIntensityMaxTime","daily.precipProbability","daily.temperatureHigh","daily.temperatureHighTime","daily.temperatureLow","daily.temperatureLowTime","daily.apparentTemperatureHigh","daily.apparentTemperatureHighTime","daily.apparentTemperatureLow","daily.apparentTemperatureLowTime","daily.dewPoint","daily.humidity","daily.pressure","daily.windSpeed","daily.windGust","daily.windGustTime","daily.windBearing","daily.cloudCover","daily.uvIndex","daily.uvIndexTime","daily.visibility","daily.temperatureMin","daily.temperatureMinTime","daily.temperatureMax","daily.temperatureMaxTime","daily.apparentTemperatureMin","daily.apparentTemperatureMinTime","daily.apparentTemperatureMax","daily.apparentTemperatureMaxTime","id","location","home.team","latitude","longitude","daily.precipType","daily.precipAccumulation"
2017-10-14,"Partly cloudy throughout the day.","partly-cloudy-day",2017-10-14 07:36:09,2017-10-14 18:15:46,0.82,0,0,,0,66.49,1507989600,55.13,1508043600,66.49,1507989600,55.13,1508043600,57.54,0.83,1018.68,4.79,16.02,1507935600,228,0.59,2,1507978800,6.22,59.52,2017-10-14 23:00:00,66.49,2017-10-14 15:00:00,59.52,2017-10-14 23:00:00,66.49,2017-10-14 15:00:00,"1718-339","Burnley","Burnley",53.78916667,-2.23027778,,
2017-09-23,"Mostly cloudy until evening.","partly-cloudy-day",2017-09-23 06:58:10,2017-09-23 19:06:48,0.11,0,0,,0,62.04,1506171600,50.56,1506229200,62.04,1506171600,50.56,1506229200,53.46,0.88,1018.97,2.72,9,1506175200,155,0.49,3,1506168000,6.07,52.1,2017-09-23 07:00:00,62.04,2017-09-23 14:00:00,52.1,2017-09-23 07:00:00,62.04,2017-09-23 14:00:00,"1718-340","Burnley","Burnley",53.78916667,-2.23027778,,
2017-09-10,"Rain in the evening.","rain",2017-09-10 06:35:22,2017-09-10 19:39:09,0.64,0.0061,0.0586,2017-09-10 18:00:00,0.87,57.54,1505052000,49.66,1505088000,57.54,1505052000,48.28,1505084400,50.19,0.9,993.14,4.71,16.57,1505070000,225,0.62,4,1505044800,6.14,49.14,2017-09-10 00:00:00,57.54,2017-09-10 15:00:00,49.14,2017-09-10 00:00:00,57.54,2017-09-10 15:00:00,"1718-341","Burnley","Burnley",53.78916667,-2.23027778,"rain",
2017-08-19,"Partly cloudy throughout the day.","partly-cloudy-day",2017-08-19 05:56:35,2017-08-19 20:31:19,0.92,0.0045,0.026,2017-08-19 02:00:00,0.88,60.74,1503158400,51.39,1503205200,60.74,1503158400,51.39,1503205200,50.11,0.81,1012.57,5.69,16.89,1503140400,260,0.48,5,1503144000,6.22,50.99,2017-08-19 00:00:00,60.74,2017-08-19 17:00:00,50.99,2017-08-19 00:00:00,60.74,2017-08-19 17:00:00,"1718-342","Burnley","Burnley",53.78916667,-2.23027778,"rain",
2018-05-05,"Clear throughout the day.","clear-day",2018-05-05 05:26:42,2018-05-05 20:32:26,0.67,0,0,,0,72.49,1525536000,44.31,1525582800,72.49,1525536000,44.31,1525582800,44.15,0.6,1025.21,1.77,7.67,1525525200,96,0.04,7,1525518000,6.21,44.39,2018-05-05 06:00:00,72.49,2018-05-05 17:00:00,44.39,2018-05-05 06:00:00,72.49,2018-05-05 17:00:00,"1718-343","Watford","Watford",51.65,-0.40166667,,
2018-04-21,"Rain overnight.","rain",2018-04-21 05:53:45,2018-04-21 20:09:02,0.2,7e-04,0.0107,2018-04-21 22:00:00,0.4,73.06,1524315600,54.92,1524373200,73.06,1524315600,54.92,1524373200,52.91,0.73,1019.88,2.31,8.97,1524340800,126,0.16,6,1524308400,5.55,51.1,2018-04-21 06:00:00,73.06,2018-04-21 14:00:00,51.1,2018-04-21 06:00:00,73.06,2018-04-21 14:00:00,"1718-344","Watford","Watford",51.65,-0.40166667,"rain",
2018-04-07,"Mostly cloudy starting in the afternoon.","partly-cloudy-night",2018-04-07 06:24:06,2018-04-07 19:45:28,0.73,0,0,,0,62.12,1523098800,48.34,1523163600,62.12,1523098800,48.34,1523163600,46.73,0.79,1005.32,3.21,14.43,1523109600,179,0.42,5,1523098800,6.2,45.62,2018-04-07 04:00:00,62.12,2018-04-07 12:00:00,45.62,2018-04-07 04:00:00,62.12,2018-04-07 12:00:00,"1718-345","Watford","Watford",51.65,-0.40166667,,
2018-03-31,"Mostly cloudy throughout the day.","partly-cloudy-day",2018-03-31 06:40:00,2018-03-31 19:33:44,0.51,0.0016,0.0067,2018-03-31 18:00:00,0.53,46.43,1522512000,38.86,1522555200,45.53,1522508400,35.72,1522551600,38.78,0.9,996.93,1.66,10.97,1522522800,267,0.9,3,1522494000,6.02,38.68,2018-03-31 07:00:00,46.43,2018-03-31 17:00:00,35.85,2018-03-31 06:00:00,45.53,2018-03-31 16:00:00,"1718-346","Watford","Watford",51.65,-0.40166667,"rain",
2018-03-03,"Foggy throughout the day.","fog",2018-03-03 06:43:50,2018-03-03 17:46:06,0.56,0.0047,0.0177,2018-03-03 12:00:00,0.67,37.28,1520085600,36.46,1520107200,32.24,1520085600,31.68,1520107200,33.66,0.94,992.08,5.49,13.25,1520092800,87,0.91,2,1520074800,1.25,31.8,2018-03-03 00:00:00,37.9,2018-03-03 22:00:00,25.85,2018-03-03 00:00:00,35.36,2018-03-03 23:00:00,"1718-347","Watford","Watford",51.65,-0.40166667,"rain",
2018-02-24,"Mostly cloudy overnight.","partly-cloudy-night",2018-02-24 06:58:53,2018-02-24 17:33:38,0.3,0,0,,0,42.38,1519480800,29.71,1519542000,37.56,1519484400,25.64,1519545600,26.3,0.71,1021.89,5.18,15.5,1519488000,78,0.19,2,1519470000,6.09,28.05,2018-02-24 07:00:00,42.38,2018-02-24 14:00:00,26.14,2018-02-24 08:00:00,37.56,2018-02-24 15:00:00,"1718-348","Watford","Watford",51.65,-0.40166667,,
